model,accuracy,precision,recall,f1,roc_auc
RandomForest,0.8783333333333333,0.6217228464419475,0.7867298578199052,0.694560669456067,0.9225652796879418
XGBoost,0.8791666666666667,0.625,0.7819905213270142,0.6947368421052632,0.9188178973447255
